#{"t_start": 1752082681.5542989, "env_id": "None"}
r,l,t,reason
-0.822429,314,25265.016005,goal_reached
-2.338849,328,25931.403183,goal_reached
1.574651,96,25955.938276,goal_reached
-1.479395,53,25971.813898,collision
1.198022,165,26010.216091,goal_reached
0.522786,353,26086.837157,goal_reached
-0.483871,225,26137.646462,goal_reached
1.349054,68,26156.539622,goal_reached
-0.001534,290,26220.405796,goal_reached
-0.284388,474,26321.508405,goal_reached
-1.150265,366,26400.708358,goal_reached
0.292115,326,26471.813506,goal_reached
-4.447105,171,26511.560112,collision
0.149959,253,26567.890068,goal_reached
-1.097136,374,26648.788383,goal_reached
1.360429,129,26680.05086,goal_reached
0.672363,145,26714.565579,goal_reached
-7.332987,316,26783.682353,collision
0.708823,176,26824.353754,goal_reached
-2.407752,148,26859.443072,collision
-0.026221,227,26910.393291,goal_reached
0.79276,137,26943.317417,goal_reached
1.727259,82,26965.055582,goal_reached
-2.957948,417,27216.754139,collision
-6.005294,522,27327.411904,collision
1.354449,138,27360.387504,goal_reached
0.110407,299,27426.11955,goal_reached
-2.095338,52,27441.766241,collision
-5.004385,311,27509.661238,collision
1.370342,156,27546.279479,goal_reached
1.404032,68,27565.186034,goal_reached
-1.910512,410,27653.331133,goal_reached
1.201399,92,27677.10188,goal_reached
-2.541107,317,27746.482372,collision
1.294992,209,27793.842304,goal_reached
-3.676397,311,27862.01753,collision
-5.095865,264,27920.464713,collision
-0.763172,176,27961.095591,goal_reached
-0.329757,336,28034.128837,goal_reached
-5.167024,366,28113.439196,collision
-0.04892,136,28146.019792,goal_reached
-3.534796,320,28215.994845,collision
0.845235,215,28264.554837,goal_reached
-0.250187,417,28524.776312,goal_reached
1.319957,170,28564.361577,goal_reached
1.76879,127,28595.134844,goal_reached
-1.226574,319,28665.394394,goal_reached
0.879127,163,28703.715875,goal_reached
-2.075254,116,28732.766082,collision
