#{"t_start": 1749968972.9038224, "env_id": "None"}
r,l,t
-0.052921,32,14135.879503
-0.550652,106,14158.197546
0.829642,150,14189.541658
-0.892151,96,14209.813651
-0.624785,59,14222.601586
-0.623977,59,14235.372664
-0.639288,32,14242.671667
-0.563656,79,14259.473623
-0.684672,106,14281.726306
-0.661306,31,14288.927665
-0.573755,51,14300.117108
-0.610584,57,14312.480615
-0.615681,56,14324.649853
-0.624182,60,14337.603029
-0.594143,48,14348.126347
-0.580439,21,14353.224298
-0.584879,90,14372.24785
-0.659639,65,14386.196119
0.871442,156,14418.523379
0.701258,1,14419.582244
-0.52062,79,14436.380586
-0.652561,25,14442.327685
-0.628878,81,14459.479084
-0.580268,34,14467.178366
-0.61119,43,14476.701627
-0.139672,48,14487.220598
-0.526201,25,14493.077687
-0.547812,80,14510.065519
0.811725,173,14545.836804
0.701161,1,14546.902456
0.926542,186,14585.303778
-0.865445,40,14594.293188
-0.491095,134,14622.207967
-0.817194,37,14630.519993
-0.581584,52,14641.838615
-0.585147,8,14644.31374
-0.556081,50,14655.238883
-0.157067,140,14684.330279
-0.325949,64,14698.066459
-0.524559,38,14706.572125
-0.61033,32,14713.862929
-0.568778,40,14722.792068
-0.549254,49,14733.528124
-0.558564,5,14735.407455
-0.52733,76,14751.595031
-0.724182,132,14779.180519
-0.742215,69,14793.966398
-0.604851,102,14815.474586
-0.836779,230,14862.828806
-0.391363,47,14873.175053
-0.544213,35,14881.072813
-0.563656,34,14888.777131
-0.538636,5,14890.617869
-0.497829,28,14897.212869
-0.516454,76,14913.441876
-0.708339,27,14919.739655
-0.594596,28,14926.251977
-0.517133,4,14927.904325
-0.509335,69,14942.716381
-0.632144,24,14948.396646
0.910922,165,14982.588089
-0.874007,121,15007.988687
-0.719592,64,15021.877218
-0.581592,3,15023.326714
-0.535709,56,15035.525995
-0.614613,58,15048.097238
-0.611925,109,15070.967503
-0.706624,11,15074.01328
-0.546085,146,15104.302919
-0.787937,37,15112.763022
-0.604678,58,15125.32621
-0.595338,104,15147.217838
-0.701017,26,15153.333492
-0.566999,57,15165.710247
