#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
-0.887387,50,10141.823373,collision
-1.068194,6,10145.826541,collision
-0.893367,150,10281.514026,collision
-1.021378,5,10285.402498,collision
-0.702429,31,10294.538906,collision
-0.987125,8,10299.05555,collision
-0.840927,3,10302.557985,collision
-0.465701,113,10328.314512,collision
-1.219571,65,10344.405177,collision
-0.961991,51,10357.48257,collision
-0.915996,50,10370.449334,collision
-0.981279,20,10377.424994,collision
-0.655035,78,10396.049629,collision
-1.233716,4,10399.762763,collision
-0.6446,65,10415.806679,collision
-1.118179,3,10419.318378,collision
-0.662502,71,10436.564832,collision
1.183618,195,10478.954057,goal_reached
-1.665551,3,10482.449997,collision
-0.676155,61,10497.743821,collision
-1.075835,5,10501.52238,collision
1.496739,177,10540.386086,goal_reached
0.648486,174,10578.594123,goal_reached
0.651867,174,10616.830893,goal_reached
-1.483961,66,10633.137511,collision
-0.804649,113,10658.921897,collision
-0.995072,156,10693.448343,collision
0.823046,186,10733.82673,goal_reached
-1.463483,63,10749.469182,collision
-0.937283,78,10768.020629,collision
1.13766,178,10807.094917,goal_reached
-1.583954,21,10814.298151,collision
-0.584632,104,10838.258419,collision
-1.060173,110,10863.483229,collision
-1.266149,17,10869.806715,collision
-0.813617,40,10880.860866,collision
-0.871106,47,10893.184309,collision
-0.908349,48,10905.79503,collision
-0.881288,49,10918.6318,collision
-1.067543,3,10922.136426,collision
-0.704421,44,10933.976469,collision
1.303437,179,10973.1295,goal_reached
-1.171306,161,11008.629088,collision
-1.457924,41,11019.940538,collision
-0.707498,91,11041.241131,collision
-1.199829,65,11057.314845,collision
-0.9422,52,11070.72242,collision
-0.910269,47,11083.165327,collision
-0.910734,51,11096.329963,collision
-0.914799,47,11108.692797,collision
-0.306997,185,11148.814162,no_progress
-0.990281,43,11160.273864,collision
-0.862864,45,11172.215116,collision
-0.912844,48,11184.823669,collision
-0.885947,46,11197.067037,collision
-0.895457,49,11209.87797,collision
-0.907219,65,11225.910899,collision
-0.995157,34,11235.697526,collision
-0.840617,51,11248.940634,collision
-0.934481,50,11261.936699,collision
-0.913572,43,11273.517863,collision
-0.831488,77,11291.972057,collision
-0.693009,112,11317.537833,collision
0.896756,150,11350.737238,goal_reached
-1.529324,46,11362.921355,collision
-0.887102,44,11374.65086,collision
-0.894604,50,11387.662841,collision
-0.913977,49,11400.432986,collision
-1.056745,3,11403.907982,collision
1.483598,181,11443.363249,goal_reached
0.635846,179,11482.473126,goal_reached
0.659452,172,11659.562496,goal_reached
-1.455652,68,11676.288135,collision
-0.790982,107,11700.928807,collision
-1.179628,62,11716.345756,collision
-1.003887,56,11730.660015,collision
-1.047991,5,11734.554764,collision
1.457531,186,11775.131382,goal_reached
0.646027,174,11813.233511,goal_reached
0.630152,181,11852.73877,goal_reached
-1.335926,115,11878.969613,collision
-1.270325,42,11890.403147,collision
1.296593,185,11930.845595,goal_reached
-1.512738,71,11948.120443,collision
-1.092525,3,11951.688015,collision
-0.278878,166,11988.309797,collision
-1.652772,6,11992.468693,collision
-0.475508,115,12018.681146,collision
0.961478,155,12053.020831,goal_reached
-1.665229,5,12056.907051,collision
-0.435712,84,12076.788055,collision
-1.243156,56,12091.053903,collision
-0.912886,49,12103.892185,collision
1.249728,189,12145.107689,goal_reached
-1.458718,70,12162.134447,collision
-0.966518,56,12176.46257,collision
-1.112707,4,12180.016883,collision
1.483834,187,12220.741869,goal_reached
-1.581174,38,12231.347787,collision
-0.973648,5,12235.249804,collision
-0.573554,57,12249.645547,collision
-1.150462,11,12254.750468,collision
-0.730611,41,12265.921722,collision
-0.252347,153,12299.692107,no_progress
-0.707668,123,12327.506339,collision
-1.313107,103,12351.295484,collision
-1.096842,3,12354.8913,collision
-0.679552,48,12367.468091,collision
1.314794,158,12402.35125,goal_reached
-1.602405,205,12446.588964,collision
-0.988975,139,12477.577761,collision
0.945794,169,12514.683458,goal_reached
-1.335444,120,12541.730656,collision
-1.248146,57,12556.122627,collision
-0.699064,101,12579.5428,collision
-1.094908,108,12604.496294,collision
-0.83412,158,12639.428694,collision
-1.509254,21,12646.582434,collision
-0.818558,52,12660.092372,collision
-0.905488,48,12672.72992,collision
-0.879031,46,12685.020076,collision
-0.999078,13,12690.566164,collision
1.422736,188,12731.712754,goal_reached
-1.514323,68,12748.355759,collision
-0.915415,48,12761.022495,collision
-0.721061,95,12783.083055,collision
-1.239957,144,12922.234224,collision
-1.107031,38,12932.835906,collision
-0.538185,198,12975.767831,collision
-1.621403,14,12981.637372,collision
-0.462626,139,13012.678269,collision
-1.156332,106,13037.068111,collision
-1.180873,63,13052.708281,collision
-1.006422,40,13063.885047,collision
-0.840027,69,13080.77959,collision
-1.004004,51,13093.934065,collision
-0.867416,64,13109.765551,collision
1.282698,162,13145.436576,goal_reached
-1.55291,41,13156.622278,collision
-0.866173,45,13168.588803,collision
-0.920005,48,13181.178144,collision
-1.035941,4,13184.908336,collision
-0.696643,36,13195.04563,collision
-0.800341,40,13205.889928,collision
-1.083947,8,13210.362566,collision
-0.822615,10,13215.289485,collision
1.497218,163,13251.174876,goal_reached
-1.454717,67,13267.625414,collision
-1.023548,58,13282.415379,collision
-0.915008,49,13295.194314,collision
-0.890257,50,13308.169358,collision
-0.977847,41,13319.35884,collision
-0.82673,53,13332.967067,collision
-0.971728,53,13346.56896,collision
-0.85575,57,13361.025113,collision
-1.081166,4,13364.694853,collision
-0.626059,57,13379.075793,collision
-0.67274,127,13407.596195,collision
-1.385882,61,13422.878938,collision
-0.851217,58,13437.487683,collision
-1.018002,43,13449.18105,collision
-0.863718,45,13461.130902,collision
-0.732335,86,13481.414252,collision
-0.846769,151,13514.908002,collision
0.775026,173,13552.660493,goal_reached
-1.563158,40,13563.33063,collision
-0.950434,18,13569.724267,collision
1.465965,151,13603.209396,goal_reached
-1.533544,38,13613.771011,collision
-1.012728,4,13617.443285,collision
1.50477,167,13654.085087,goal_reached
-1.198428,199,13697.24022,collision
-1.618077,15,13703.276778,collision
-0.86961,5,13707.152006,collision
-0.495533,131,13736.554137,collision
-1.24117,60,13751.673681,collision
-0.953913,56,13765.892181,collision
-1.051514,8,13770.419469,collision
-0.579882,86,13790.654513,collision
-1.08994,54,13804.619601,collision
-1.064196,4,13808.326879,collision
1.491425,176,13846.80712,goal_reached
-1.457044,70,13863.853223,collision
-0.840194,111,13889.206671,collision
-1.244452,67,13905.656505,collision
-0.898361,46,13917.820138,collision
-0.887156,49,13930.487792,collision
-1.019465,35,13940.309294,collision
-0.808739,83,13959.998281,collision
-0.806118,114,13985.946262,collision
0.957281,173,14023.774917,goal_reached
-1.439718,80,14042.778976,collision
-0.852782,106,14067.095115,collision
-1.373635,3,14070.625499,collision
-0.659021,49,14083.411091,collision
-0.925502,49,14096.375946,collision
-0.907902,72,14113.854157,collision
1.175192,205,14281.205055,goal_reached
0.64454,178,14320.094894,goal_reached
0.666467,166,14356.524646,goal_reached
0.668092,164,14392.443169,goal_reached
0.670755,165,14428.688808,goal_reached
-1.174554,185,14469.01722,collision
