#{"t_start": 1752340132.2750878, "env_id": "None"}
r,l,t,reason
-0.82417,121,42646.794324,collision
-0.199888,209,43565.976699,collision
-3.534253,200,43611.236413,collision
3.103496,100,43636.334073,goal_reached
2.798692,384,43718.861665,goal_reached
4.085673,152,43754.835044,goal_reached
-0.530366,69,43773.885802,collision
2.274109,323,43843.98756,goal_reached
-0.320022,223,43894.001511,goal_reached
-0.826805,99,43919.094271,collision
3.680031,203,43965.065724,goal_reached
3.574469,166,44003.726296,goal_reached
2.871643,242,44057.659424,goal_reached
-1.36697,151,44093.249564,collision
3.032432,107,44119.734426,goal_reached
-0.223704,79,44140.748076,collision
-1.205703,57,44157.237926,collision
-2.377182,176,44197.758502,collision
-0.398531,89,44220.73913,collision
4.107703,181,44262.185663,goal_reached
2.027034,186,44304.798193,goal_reached
-0.006243,405,44391.776398,goal_reached
3.689719,221,44441.640125,goal_reached
3.651984,273,44501.77164,goal_reached
-1.453954,127,44532.355211,collision
3.454355,170,44571.547413,goal_reached
-1.148031,91,44594.917367,collision
4.085459,142,44628.664693,goal_reached
2.51827,163,44666.576741,goal_reached
2.996691,117,44695.356787,goal_reached
3.079926,227,45382.889529,goal_reached
2.018492,199,45428.210419,goal_reached
-1.341787,83,45450.130268,collision
1.261072,222,45499.768835,goal_reached
3.60512,172,45539.594689,goal_reached
0.840832,240,45593.233656,goal_reached
3.559551,136,45625.699947,goal_reached
2.424826,227,45676.759343,goal_reached
-1.384947,182,45718.43592,collision
2.9542,185,45760.685357,goal_reached
3.895875,149,45795.851672,goal_reached
0.825115,232,45847.854214,collision
1.402432,134,45879.831534,goal_reached
-0.054291,60,45897.034949,collision
2.360985,226,45947.582101,goal_reached
-0.478352,368,46026.616841,goal_reached
-1.236493,80,46047.858301,collision
1.685285,222,46097.77791,goal_reached
3.613247,130,46129.000908,goal_reached
3.88576,173,46168.892088,goal_reached
0.188031,246,46223.651956,goal_reached
2.934275,146,46258.16976,goal_reached
0.891012,215,46306.753545,collision
1.247666,418,46395.892862,goal_reached
-0.823288,58,46412.567218,collision
1.189279,153,46448.449533,goal_reached
4.031182,135,46480.803114,goal_reached
3.547854,109,47262.53073,goal_reached
3.047529,161,47300.043518,goal_reached
-1.718422,268,47359.053216,collision
3.133118,180,47400.209068,goal_reached
3.387516,130,47431.43958,goal_reached
3.507384,166,47470.105659,goal_reached
1.85356,288,47533.195706,goal_reached
2.180679,229,47584.509664,goal_reached
-1.37999,83,47606.361869,collision
1.661439,435,47699.096574,goal_reached
2.922713,194,47743.579908,goal_reached
2.823788,69,47762.552459,goal_reached
0.311859,224,47812.683236,collision
3.890536,123,47842.509167,goal_reached
2.145359,278,47903.767675,goal_reached
-1.192969,409,47991.223863,collision
-1.409417,314,48059.334402,collision
-0.910931,181,48100.755403,collision
2.215086,132,48132.397494,goal_reached
3.63606,236,48185.177912,goal_reached
1.623952,176,48225.815513,goal_reached
1.45618,244,48280.271336,goal_reached
3.537209,146,48314.895412,goal_reached
3.214171,150,48350.098181,goal_reached
-2.486023,584,49578.705697,goal_reached
1.69652,234,49631.043799,goal_reached
2.709049,199,49676.352696,goal_reached
3.46036,200,49721.569571,goal_reached
2.913143,166,49760.15277,goal_reached
3.147169,192,49803.925291,goal_reached
-0.016485,93,49827.78934,collision
-0.596878,100,49853.044154,collision
3.430785,244,49907.304507,goal_reached
-0.980122,132,49939.041082,collision
-0.665923,41,49952.397236,collision
3.678506,160,49989.580492,goal_reached
1.620888,199,50034.945491,goal_reached
4.19517,157,50071.657597,goal_reached
2.21108,239,50124.907811,goal_reached
-0.645162,57,50141.589688,collision
2.947525,228,50192.415645,goal_reached
-1.05909,69,50211.389186,collision
4.0338,182,50253.109388,goal_reached
2.81407,136,50285.569226,goal_reached
-1.898225,311,50353.485419,collision
3.440315,124,50383.634957,goal_reached
0.277062,117,50412.45823,collision
3.745061,153,50448.22747,goal_reached
0.281104,102,50473.893974,collision
-1.337134,264,50532.221646,collision
-0.773378,108,50558.948349,collision
2.77698,100,50584.041218,goal_reached
-0.988955,36,50596.386292,collision
-0.102434,88,50619.096301,collision
-2.692468,112,51314.299415,collision
-0.194866,250,51369.572205,collision
-0.661424,195,51413.868229,collision
3.225447,111,51441.412154,goal_reached
2.609884,267,51500.283677,goal_reached
-0.495718,152,51535.99438,collision
